f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,target
543,5,1,2,3,0.3,0.8,99,95,86,5
544,5,1,1,3,0.3,0.3,99,95,86,5
545,5,1,10,5,0.5,1.1,99,95,86,5
546,5,2,1,3,0.3,0.3,99,95,86,5
547,5,2,15,6,0.3,1.9,99,95,86,5
548,5,2,1,3,0.3,0.3,99,95,86,5
549,5,2,1,3,0.3,0.3,99,95,86,5
550,5,2,1,2,0.5,0.5,99,95,86,5
551,5,2,1,2,0.5,0.5,99,95,86,5
552,5,2,1,2,0.5,0.5,99,95,86,5
553,5,2,1,2,0.5,0.5,99,95,86,5
554,5,2,1,2,0.5,0.5,99,95,86,5
555,5,2,28,8,0.3,2,28,5,86,5
556,5,2,32,8,0.5,2.5,33,9,86,5
557,5,3,2,4,0.3,0.6,99,95,86,5
558,5,3,1,2,0.5,0.5,99,95,86,5
559,5,3,15,7,0.2,1.5,0,95,86,5
560,5,3,18,6,0.3,1.5,99,95,86,5
561,5,3,1,3,0.3,0.3,99,95,86,5
562,5,3,1,3,0.3,0.3,99,95,86,5
563,5,3,1,3,0.3,0.7,99,95,86,5
564,5,3,18,6,0.4,1.5,99,95,86,5
565,5,3,53,13,0.6,2.2,60,38,40,5
566,5,4,1,3,0.3,0.9,99,95,86,5
567,5,4,5,4,0.5,1.6,99,95,86,5
568,5,4,16,6,0.4,1.5,99,95,86,5
569,5,4,44,10,0.6,2.5,54,29,11,5
570,5,4,48,13,1,2.8,42,31,28,5
571,5,4,41,10,0.5,2,55,35,16,5
572,5,5,1,2,0.5,0.5,99,95,86,5
573,5,5,1,2,0.5,0.5,99,95,86,5
574,5,5,1,2,0.5,0.5,99,95,86,5
575,5,5,1,2,0.5,0.5,99,95,86,5
576,5,5,1,2,0.5,0.5,99,95,86,5
577,5,5,1,3,0.3,0.3,99,95,86,5
578,5,5,2,3,0.5,0.8,99,95,86,5
579,5,5,2,3,0.5,0.7,99,95,86,5
580,5,5,2,3,0.3,0.7,99,95,86,5
581,5,5,2,4,0.3,0.8,99,95,86,5
582,5,5,2,3,0.5,1.3,99,95,86,5
583,5,5,7,5,0.5,1,99,95,86,5
584,5,5,10,6,0.3,0.7,99,95,86,5
585,5,6,19,8,0.3,2,27,6,86,5
586,5,6,3,4,0.5,1.1,99,95,86,5
587,5,6,13,11,0.3,1.5,5,3,1,5
588,5,6,39,10,0.5,1.7,49,48,42,5
589,5,6,31,12,0.6,1.5,29,13,9,5
590,5,7,3,3,0.3,1.6,99,95,86,5
591,5,7,1,2,0.5,0.5,99,95,86,5
592,5,7,2,3,0.4,0.8,99,95,86,5
593,5,7,1,3,0.3,0.6,99,95,86,5
594,5,7,1,3,0.2,0.7,99,95,86,5
595,5,7,1,2,0.5,0.5,99,95,86,5
596,5,7,3,4,0.2,1.3,99,95,86,5
597,5,7,2,3,0.3,1.1,99,95,86,5
598,5,7,1,3,0.3,0.3,99,95,86,5
599,5,7,13,5,0.8,1.2,99,95,86,5
600,5,7,30,8,0.6,2.2,36,8,86,5
601,36,1,108,20,0.5,1.5,88,73,58,5
602,36,2,5,5,0.5,0.8,99,95,86,5
603,36,2,2,3,0.3,0.6,99,95,86,5
604,36,2,1,3,0.2,0.5,99,95,86,5
605,36,2,3,3,0.5,1.1,99,95,86,5
606,36,2,5,4,0.3,1.6,99,95,86,5
607,36,2,21,7,0.3,1.1,5,95,86,5
608,36,3,27,8,1.1,2.3,12,1,86,5
609,36,4,1,4,0.2,0.5,99,95,86,5
610,36,4,1,3,0.3,0.3,99,95,86,5
611,36,4,73,17,0.9,2.5,71,48,45,5
612,36,4,70,17,0.5,1.8,68,55,56,5
613,36,5,1,3,0.3,0.3,99,95,86,5
614,36,5,2,4,0.3,0.5,99,95,86,5
615,36,5,25,7,0.5,1.1,8,95,86,5
616,36,5,1,3,0.3,0.3,99,95,86,5
617,36,5,1,3,0.3,0.5,99,95,86,5
618,36,5,28,9,0.5,1.1,34,10,1,5
619,36,5,47,13,0.3,1,72,53,44,5
620,36,5,1,3,0.3,0.3,99,95,86,5
621,36,5,1,4,0.2,0.5,99,95,86,5
622,36,5,10,8,0.5,1,4,2,86,5
623,36,6,2,3,0.2,0.7,99,95,86,5
624,36,6,8,5,0.3,1,99,95,86,5
625,36,6,57,15,0.7,2.4,58,51,53,5
626,36,6,13,6,0.5,3.9,99,95,86,5
627,36,6,20,9,0.5,2,5,2,0,5
628,24,1,43,9,0.5,1.2,47,9,0,5
629,24,1,37,10,0.5,2.8,10,4,0,5
630,24,2,2,5,0.2,0.5,99,95,86,5
631,24,2,3,5,0.2,0.5,99,95,86,5
632,24,2,3,4,0.2,0.6,99,95,86,5
633,24,2,24,8,0.5,1.3,15,5,86,5
634,24,3,47,8,0.2,1.4,47,27,86,5
635,24,3,58,8,1.6,5.3,47,30,86,5
636,24,3,89,16,1.5,4.2,75,63,53,5
637,24,4,58,10,0.5,1.8,91,56,27,5
638,24,5,57,12,0.6,2.1,60,83,72,5
639,24,5,12,6,0.3,0.9,99,95,86,5
640,24,5,18,8,0.5,1.3,9,2,86,5
641,24,5,6,6,0.3,1,99,95,86,5
642,24,5,40,13,0.2,0.9,67,50,45,5
643,24,6,13,6,0.2,0.6,99,95,86,5
644,24,6,63,15,0.3,1.3,73,50,51,5
645,24,7,11,8,0.2,0.8,2,1,86,5
646,24,8,38,8,0.5,1.8,48,16,86,5
647,24,8,7,6,0.3,0.6,99,95,86,5
648,24,8,3,5,0.2,0.6,99,95,86,5
649,24,8,29,7,0.3,1.2,27,95,86,5
650,24,8,7,5,0.6,1.6,99,95,86,5
651,24,8,43,15,0.5,1.4,28,9,11,5
652,24,8,55,15,0.7,1.3,47,34,32,5
653,39,1,24,6,1.5,5.1,99,95,86,5
654,39,2,35,9,0.3,1.7,53,32,1,5
655,39,2,23,7,1.2,3.5,0,95,86,5
656,39,3,56,9,1.2,4.3,59,35,4,5
657,39,4,31,7,1.2,3.1,4,95,86,5
658,39,5,45,9,2.1,6.6,48,29,4,5
659,39,6,13,5,1,3.5,99,95,86,5
660,39,6,6,4,0.8,2.7,99,95,86,5
661,39,6,41,7,1.2,4.9,5,95,86,5
662,39,7,12,3,3.2,6.8,99,95,86,5
663,39,7,1,3,0.3,0.3,99,95,86,5
664,39,7,1,3,0.2,0.3,99,95,86,5
665,39,7,46,7,3.8,11,6,95,86,5
666,28,1,79,19,0.7,1.8,81,68,40,5
667,28,2,65,10,2.9,8.1,49,40,32,5
668,28,3,1,2,0.5,0.5,99,95,86,5
669,28,3,55,11,0.9,2.8,80,50,35,5
670,28,3,139,22,1.1,2.4,18,74,63,5
671,28,4,1,3,0.5,0.7,99,95,86,5
672,28,4,3,4,0.3,0.8,99,95,86,5
673,28,4,8,5,0.4,1.3,99,95,86,5
674,28,4,1,3,0.2,0.6,99,95,86,5
675,28,4,65,12,0.4,2.1,72,59,60,5
676,28,5,89,14,1.4,4.9,78,72,73,5
677,28,6,1,3,0.3,0.8,99,95,86,5
678,28,6,2,3,0.7,0.8,99,95,86,5
679,28,6,1,2,0.5,0.5,99,95,86,5
680,28,6,12,5,0.9,2.2,99,95,86,5
681,28,6,11,5,1.4,3.2,99,95,86,5
682,28,6,11,5,0.5,2.1,99,95,86,5
683,28,6,1,2,0.5,1,99,95,86,5
684,28,6,18,6,1,2.6,99,95,86,5
685,28,6,5,4,0.8,1.1,99,95,86,5
686,28,6,4,4,0.7,1.6,99,95,86,5
687,28,6,17,6,0.6,2,99,95,86,5
688,28,6,3,3,1.2,1.6,99,95,86,5
689,28,6,154,23,1.8,4.3,86,81,73,5
690,0,1,2,5,0.3,0.5,99,95,86,2
691,0,1,1,4,0.2,0.4,99,95,86,2
692,0,3,1,3,0.3,0.3,99,95,86,2
693,0,3,1,3,0.3,0.3,99,95,86,2
694,0,3,1,3,0.3,0.3,99,95,86,2
695,0,3,1,3,0.3,0.3,99,95,86,2
696,0,3,1,3,0.3,0.3,99,95,86,2
697,0,3,1,2,0.5,0.5,99,95,86,2
698,0,3,1,2,0.5,0.5,99,95,86,2
699,0,3,1,2,0.5,0.5,99,95,86,2
700,0,3,1,2,0.5,0.5,99,95,86,2
701,0,3,1,2,0.5,0.5,99,95,86,2
702,0,3,1,2,0.5,0.5,99,95,86,2
703,0,1,1,2,0.5,0.5,99,95,86,2
704,0,1,1,2,0.5,0.5,99,95,86,2
705,0,1,1,2,0.5,0.5,99,95,86,2
706,0,1,1,2,0.5,0.5,99,95,86,2
707,0,1,1,2,0.5,0.5,99,95,86,2
708,0,5,1,2,0.5,0.5,99,95,86,2
709,0,5,1,2,0.5,0.5,99,95,86,2
710,0,2,1,2,0.5,0.5,99,95,86,2
711,0,2,1,2,0.5,0.5,99,95,86,2
712,0,6,1,2,0.5,0.5,99,95,86,2
713,0,7,1,2,0.5,0.5,99,95,86,2
714,0,2,1,3,0.3,0.3,99,95,86,2
715,0,2,1,3,0.3,0.3,99,95,86,2
716,0,3,1,3,0.3,0.3,99,95,86,2
717,0,3,1,3,0.3,0.3,99,95,86,2
718,0,1,1,3,0.3,0.3,99,95,86,2
719,0,1,1,3,0.3,0.3,99,95,86,2
720,0,1,1,3,0.3,0.3,99,95,86,2
721,0,1,1,3,0.3,0.3,99,95,86,2
722,0,1,1,3,0.3,0.3,99,95,86,2
723,0,1,1,3,0.3,0.3,99,95,86,2
724,0,1,1,3,0.3,0.3,99,95,86,2
725,0,1,1,3,0.3,0.3,99,95,86,2
726,0,1,1,3,0.3,0.3,99,95,86,2
727,0,1,1,3,0.3,0.3,99,95,86,2
728,0,6,1,3,0.3,0.3,99,95,86,2
729,0,5,1,3,0.3,0.3,99,95,86,2
730,0,5,1,4,0.3,0.3,99,95,86,2
731,0,5,1,3,0.3,0.4,99,95,86,2
732,0,6,1,3,0.2,0.3,99,95,86,2
733,0,5,1,4,0.2,0.5,99,95,86,2
734,0,6,1,3,0.2,0.2,99,95,86,2
735,0,6,1,3,0.3,0.4,99,95,86,2
736,0,1,1,5,0.2,0.5,99,95,86,2
737,0,5,1,4,0.2,0.4,99,95,86,2
738,0,2,2,6,0.2,0.5,99,95,86,2
739,0,2,35,14,0.3,0.6,35,39,42,2
740,0,2,48,15,0.2,0.6,73,50,40,2
741,0,4,1,3,0.3,0.4,99,95,86,2
742,0,4,1,4,0.3,0.5,99,95,86,2
743,0,4,1,3,0.2,0.4,99,95,86,2
744,0,5,1,4,0.2,0.4,99,95,86,2
745,0,7,1,3,0.3,0.4,99,95,86,2
746,0,7,1,3,0.2,0.3,99,95,86,2
747,0,6,1,5,0.3,0.4,99,95,86,2
748,0,6,7,10,0.2,0.5,3,10,13,2
749,0,6,1,4,0.2,0.3,99,95,86,2
750,0,7,2,5,0.3,0.5,99,95,86,2
751,0,6,2,6,0.2,0.5,99,95,86,2
752,0,6,54,16,0.3,0.5,15,45,54,2
753,0,7,3,6,0.3,0.5,99,95,86,2
754,0,7,2,4,0.2,0.5,99,95,86,2
755,0,7,1,4,0.2,0.5,99,95,86,2
756,0,7,2,5,0.2,0.5,99,95,86,2
757,0,7,2,4,0.5,0.5,99,95,86,2
758,0,7,1,4,0.2,0.3,99,95,86,2
759,0,7,8,9,0.3,0.8,12,6,2,2
760,0,7,2,5,0.3,0.3,99,95,86,2
761,0,7,1,4,0.2,0.3,99,95,86,2
762,0,7,2,6,0.2,0.5,99,95,86,2
763,0,1,1,3,0.3,0.4,99,95,86,2
764,0,6,2,6,0.3,0.5,99,95,86,2
765,0,1,2,5,0.3,0.5,99,95,86,2
766,0,8,82,20,1,2.5,52,30,14,2
767,27,1,108,17,1,3.6,83,68,62,2
768,27,2,1,4,0.2,0.5,99,95,86,2
769,27,2,2,4,0.3,1,99,95,86,2
770,27,2,1,3,0.3,0.4,99,95,86,2
771,27,2,1,3,0.2,0.5,99,95,86,2
772,27,2,1,2,0.3,0.5,99,95,86,2
773,27,2,1,3,0.2,0.5,99,95,86,2
774,27,3,1,3,0.2,0.5,99,95,86,2
775,27,3,1,3,0.2,0.6,99,95,86,2
776,27,3,1,3,0.2,0.6,99,95,86,2
777,27,3,1,3,0.2,0.5,99,95,86,2
778,27,3,1,3,0.3,0.7,99,95,86,2
779,27,3,1,3,0.4,0.6,99,95,86,2
780,27,3,2,4,0.2,0.5,99,95,86,2
781,27,3,1,3,0.2,0.5,99,95,86,2
782,27,4,1,3,0.2,0.5,99,95,86,2
783,27,3,2,5,0.4,0.4,99,95,86,2
784,27,3,1,4,0.2,0.4,99,95,86,2
785,27,4,1,3,0.2,0.8,99,95,86,2
786,27,4,4,5,0.4,1.7,99,95,86,2
787,27,4,4,5,0.5,1.3,99,95,86,2
788,27,4,1,3,0.3,0.5,99,95,86,2
789,27,4,2,4,0.2,0.8,99,95,86,2
790,27,4,3,4,0.5,1.1,99,95,86,2
791,27,4,8,6,0.3,1.6,99,95,86,2
792,27,2,1,3,0.3,0.7,99,95,86,2
793,27,2,1,3,0.2,0.6,99,95,86,2
794,27,4,6,7,0.3,0.9,0,95,86,2
795,27,4,5,6,0.3,1.4,99,95,86,2
796,27,4,12,9,0.6,2.1,11,4,0,2
797,27,5,7,6,0.3,1.6,99,95,86,2
798,27,5,2,4,0.2,0.7,99,95,86,2
799,27,5,5,6,0.2,1.2,99,95,86,2
800,27,5,2,4,0.2,0.8,99,95,86,2
801,27,5,6,6,0.6,1.7,99,95,86,2
802,27,5,6,6,0.3,1.3,99,95,86,2
803,27,5,2,4,0.2,0.8,99,95,86,2
804,27,5,1,3,0.3,0.6,99,95,86,2
805,27,5,2,4,0.2,1,99,95,86,2
806,27,5,1,4,0.2,0.5,99,95,86,2
807,27,5,2,4,0.3,0.8,99,95,86,2
808,27,5,2,5,0.2,0.7,99,95,86,2
809,27,5,3,5,0.3,1,99,95,86,2
810,27,5,1,3,0.3,0.3,99,95,86,2
811,27,4,1,3,0.3,0.3,99,95,86,2
812,27,4,1,3,0.3,0.3,99,95,86,2
813,27,2,1,2,0.5,0.5,99,95,86,2
814,27,3,1,2,0.5,0.5,99,95,86,2
815,27,3,1,2,0.5,0.5,99,95,86,2
816,27,4,1,2,0.5,0.5,99,95,86,2
817,27,4,1,2,0.5,0.5,99,95,86,2
818,40,1,40,19,0.5,1.5,14,25,30,2
819,40,2,1,3,0.4,0.5,99,95,86,2
820,40,2,1,4,0.3,0.5,99,95,86,2
821,40,3,3,4,0.5,1.2,99,95,86,2
822,40,3,51,16,0.7,2.5,55,41,49,2
823,40,4,2,3,0.5,1,99,95,86,2
824,40,4,3,6,0.2,0.8,99,95,86,2
825,40,4,143,22,0.6,1.3,91,20,21,2
826,40,5,40,13,0.3,0.6,68,66,46,2
827,40,5,2,5,0.2,0.5,99,95,86,2
828,40,5,5,7,0.5,0.8,0,95,86,2
829,40,5,2,5,0.2,0.5,99,95,86,2
830,40,5,3,5,0.5,0.8,99,95,86,2
831,40,5,24,11,0.6,1.2,47,38,25,2
832,40,6,14,12,0.2,0.5,13,15,15,2
833,40,6,4,6,0.5,1.2,99,95,86,2
834,40,6,4,7,0.2,1,0,95,86,2
835,40,7,2,6,0.2,0.5,99,95,86,2
836,40,7,6,10,0.2,0.7,6,4,0,2
837,40,7,2,7,0.2,0.5,0,95,86,2
838,40,7,1,4,0.4,0.4,99,95,86,2
839,40,7,2,7,0.2,0.4,0,95,86,2
840,40,7,2,5,0.3,0.5,99,95,86,2
841,40,7,2,7,0.2,0.5,0,95,86,2
842,40,7,4,8,0.3,0.8,0,1,86,2
843,40,7,15,13,0.2,0.8,15,25,15,2
844,40,7,42,18,0.5,0.6,30,29,29,2
845,40,2,1,3,0.3,0.3,99,95,86,2
846,40,2,1,3,0.3,0.3,99,95,86,2
847,40,2,1,3,0.3,0.3,99,95,86,2
848,40,2,1,3,0.3,0.3,99,95,86,2
849,40,4,1,3,0.3,0.3,99,95,86,2
850,40,4,1,3,0.3,0.3,99,95,86,2
851,40,5,1,3,0.3,0.3,99,95,86,2
852,40,5,1,3,0.3,0.3,99,95,86,2
853,40,5,1,3,0.3,0.3,99,95,86,2
854,40,5,1,3,0.3,0.3,99,95,86,2
855,40,5,1,3,0.3,0.3,99,95,86,2
856,40,5,1,3,0.3,0.3,99,95,86,2
857,40,7,1,3,0.3,0.3,99,95,86,2
858,40,7,1,3,0.3,0.3,99,95,86,2
859,40,7,1,3,0.3,0.3,99,95,86,2
860,40,7,1,3,0.3,0.3,99,95,86,2
861,40,2,1,2,0.5,0.5,99,95,86,2
862,40,2,1,2,0.5,0.5,99,95,86,2
863,40,2,1,2,0.5,0.5,99,95,86,2
864,40,4,1,2,0.5,0.5,99,95,86,2
865,40,4,1,2,0.5,0.5,99,95,86,2
866,40,7,1,2,0.5,0.5,99,95,86,2
867,40,7,1,2,0.5,0.5,99,95,86,2
868,40,7,1,2,0.5,0.5,99,95,86,2
869,40,7,1,2,0.5,0.5,99,95,86,2
870,40,7,1,2,0.5,0.5,99,95,86,2
871,40,4,1,1,1,2.819937345,99,95,86,2
872,40,5,1,1,1,7.287313471,99,95,86,2
873,40,5,1,1,1,5.663796023,99,95,86,2
874,40,7,1,1,1,2.985609376,99,95,86,2
875,40,7,1,1,1,10.62245686,99,95,86,2
876,40,7,1,1,1,10.12735207,99,95,86,2
877,40,7,1,1,1,7.583708783,99,95,86,2
878,40,7,1,4,0.3,0.3,99,95,86,2
879,40,7,1,4,0.3,0.3,99,95,86,2
880,40,7,1,3,0.3,0.3,99,95,86,2
881,40,7,1,3,0.3,0.3,99,95,86,2
882,40,7,1,3,0.3,0.3,99,95,86,2
883,49,1,1,4,0.2,0.5,99,95,86,2
884,49,1,1,4,0.2,0.4,99,95,86,2
885,49,2,2,5,0.2,0.8,99,95,86,2
886,49,2,2,4,0.3,0.8,99,95,86,2
887,49,2,3,5,0.3,0.6,99,95,86,2
888,49,2,2,4,0.2,0.6,99,95,86,2
889,49,2,3,5,0.2,0.6,99,95,86,2
890,49,2,2,5,0.2,0.7,99,95,86,2
891,49,3,1,4,0.2,0.5,99,95,86,2
892,49,3,1,4,0.2,0.5,99,95,86,2
893,49,3,1,4,0.2,0.5,99,95,86,2
894,49,8,1,3,0.2,0.5,99,95,86,2
895,49,8,1,3,0.2,0.5,99,95,86,2
896,49,1,1,3,0.2,0.4,99,95,86,2
897,49,1,1,3,0.2,0.5,99,95,86,2
898,49,7,2,4,0.2,0.7,99,95,86,2
899,49,7,3,5,0.3,1,99,95,86,2
900,49,7,1,4,0.2,0.6,99,95,86,2
901,49,7,3,5,0.3,0.8,99,95,86,2
902,49,1,1,3,0.2,0.6,99,95,86,2
903,49,8,1,4,0.2,0.5,99,95,86,2
904,49,8,2,4,0.2,0.6,99,95,86,2
905,49,8,2,4,0.2,0.7,99,95,86,2
906,49,8,2,4,0.2,0.8,99,95,86,2
907,49,8,1,4,0.2,0.5,99,95,86,2
908,49,1,1,1,1,5.656565773,99,95,86,2
909,49,1,1,1,1,1.079260167,99,95,86,2
910,49,4,1,1,1,9.915407391,99,95,86,2
911,49,5,1,1,1,5.356313652,99,95,86,2
912,49,6,1,1,1,3.604018727,99,95,86,2
913,49,6,1,1,1,12.31342584,99,95,86,2
914,49,2,1,2,0.5,0.5,99,95,86,2
915,49,3,1,2,0.5,0.5,99,95,86,2
916,49,3,1,2,0.5,0.5,99,95,86,2
917,49,3,1,2,0.5,0.5,99,95,86,2
918,49,4,1,2,0.5,0.5,99,95,86,2
919,49,4,1,2,0.5,0.5,99,95,86,2
920,49,4,1,2,0.5,0.5,99,95,86,2
921,49,4,1,2,0.5,0.5,99,95,86,2
922,49,4,1,2,0.5,0.5,99,95,86,2
923,49,4,1,2,0.5,0.5,99,95,86,2
924,49,4,1,2,0.5,0.5,99,95,86,2
925,49,5,1,2,0.5,0.5,99,95,86,2
926,49,5,1,2,0.5,0.5,99,95,86,2
927,49,5,1,2,0.5,0.5,99,95,86,2
928,49,5,1,2,0.5,0.5,99,95,86,2
929,49,5,1,2,0.5,0.5,99,95,86,2
930,49,5,1,2,0.5,0.5,99,95,86,2
931,49,6,1,2,0.5,0.5,99,95,86,2
932,49,6,1,2,0.5,0.5,99,95,86,2
933,49,6,1,2,0.5,0.5,99,95,86,2
934,49,6,1,2,0.5,0.5,99,95,86,2
935,49,6,1,2,0.5,0.5,99,95,86,2
936,49,6,1,2,0.5,0.5,99,95,86,2
937,49,6,1,2,0.5,0.5,99,95,86,2
938,49,6,1,2,0.5,0.5,99,95,86,2
939,49,7,1,2,0.5,0.5,99,95,86,2
940,49,7,1,2,0.5,0.5,99,95,86,2
941,49,7,1,2,0.5,0.5,99,95,86,2
942,49,8,1,2,0.5,0.5,99,95,86,2
943,49,8,1,2,0.5,0.5,99,95,86,2
944,49,8,1,2,0.5,0.5,99,95,86,2
945,49,8,1,2,0.5,0.5,99,95,86,2
946,49,8,1,2,0.5,0.5,99,95,86,2
947,49,8,1,2,0.5,0.5,99,95,86,2
948,49,8,1,2,0.5,0.5,99,95,86,2
949,49,8,1,2,0.5,0.5,99,95,86,2
950,49,8,1,2,0.5,0.5,99,95,86,2
951,49,8,1,2,0.5,0.5,99,95,86,2
952,49,8,1,2,0.5,0.5,99,95,86,2
953,49,2,1,3,0.3,0.3,99,95,86,2
954,49,3,1,3,0.3,0.3,99,95,86,2
955,49,3,1,3,0.3,0.3,99,95,86,2
956,49,3,1,3,0.3,0.3,99,95,86,2
957,49,4,1,3,0.3,0.3,99,95,86,2
958,49,4,1,3,0.3,0.3,99,95,86,2
959,49,4,1,3,0.3,0.3,99,95,86,2
960,49,4,1,3,0.3,0.3,99,95,86,2
961,49,4,1,3,0.3,0.3,99,95,86,2
962,49,4,1,3,0.3,0.3,99,95,86,2
963,49,4,1,3,0.3,0.3,99,95,86,2
964,49,4,1,3,0.3,0.3,99,95,86,2
965,49,4,1,3,0.3,0.3,99,95,86,2
966,49,5,1,3,0.3,0.3,99,95,86,2
967,49,5,1,3,0.3,0.3,99,95,86,2
968,49,5,1,3,0.3,0.3,99,95,86,2
969,49,5,1,3,0.3,0.3,99,95,86,2
970,49,5,1,3,0.3,0.3,99,95,86,2
971,49,5,1,3,0.3,0.3,99,95,86,2
972,49,5,1,3,0.3,0.3,99,95,86,2
973,49,5,1,3,0.3,0.3,99,95,86,2
974,49,5,1,3,0.3,0.3,99,95,86,2
975,49,6,1,3,0.3,0.3,99,95,86,2
976,49,6,1,3,0.3,0.3,99,95,86,2
977,49,6,1,3,0.3,0.3,99,95,86,2
978,49,6,1,3,0.3,0.3,99,95,86,2
979,49,6,1,3,0.3,0.3,99,95,86,2
980,49,6,1,3,0.3,0.3,99,95,86,2
981,49,6,1,3,0.3,0.3,99,95,86,2
982,49,6,1,3,0.3,0.3,99,95,86,2
983,49,6,1,3,0.3,0.3,99,95,86,2
984,49,7,1,3,0.3,0.3,99,95,86,2
985,49,7,1,3,0.3,0.3,99,95,86,2
986,49,7,1,3,0.3,0.3,99,95,86,2
987,49,7,1,3,0.3,0.3,99,95,86,2
988,49,7,1,3,0.3,0.3,99,95,86,2
989,49,7,1,3,0.3,0.3,99,95,86,2
990,49,8,1,3,0.3,0.3,99,95,86,2
991,49,8,1,3,0.3,0.3,99,95,86,2
992,49,8,1,3,0.3,0.3,99,95,86,2
993,49,8,1,3,0.3,0.3,99,95,86,2
994,49,8,1,3,0.3,0.3,99,95,86,2
995,49,8,1,3,0.3,0.3,99,95,86,2
996,49,8,1,3,0.3,0.3,99,95,86,2
997,49,8,1,3,0.3,0.3,99,95,86,2
998,49,8,1,3,0.3,0.3,99,95,86,2
999,49,8,1,3,0.3,0.3,99,95,86,2
1000,49,8,1,3,0.3,0.3,99,95,86,2
1001,49,8,1,3,0.3,0.3,99,95,86,2
1002,49,8,1,3,0.3,0.3,99,95,86,2
1003,49,8,1,3,0.3,0.3,99,95,86,2
1004,49,8,1,3,0.3,0.3,99,95,86,2
1005,49,8,1,3,0.3,0.3,99,95,86,2
1006,49,8,1,3,0.3,0.3,99,95,86,2
1007,49,8,1,3,0.3,0.3,99,95,86,2
1008,49,8,1,3,0.3,0.3,99,95,86,2
1009,37,1,129,18,1.5,3.2,17,90,83,2
1010,37,2,71,20,0.3,1.5,49,49,50,2
1011,37,3,1,3,0.3,0.5,99,95,86,2
1012,37,4,2,6,0.2,0.6,99,95,86,2
1013,37,4,2,5,0.2,0.7,99,95,86,2
1014,37,4,3,6,0.2,0.7,99,95,86,2
1015,37,4,1,4,0.3,0.5,99,95,86,2
1016,37,4,2,6,0.3,0.3,99,95,86,2
1017,37,4,1,3,0.3,0.5,99,95,86,2
1018,37,4,2,4,0.3,0.5,99,95,86,2
1019,37,4,5,7,0.2,0.8,0,95,86,2
1020,37,5,44,16,0.5,1.8,36,29,30,2
1021,37,5,4,5,0.3,0.8,99,95,86,2
1022,37,5,2,5,0.2,0.5,99,95,86,2
1023,37,3,1,3,0.2,0.7,99,95,86,2
1024,37,3,1,3,0.3,0.5,99,95,86,2
1025,37,3,1,3,0.2,0.3,99,95,86,2
1026,37,6,1,4,0.2,0.5,99,95,86,2
1027,37,6,1,4,0.2,0.3,99,95,86,2
1028,37,6,2,5,0.2,0.5,99,95,86,2
1029,37,6,2,4,0.2,0.6,99,95,86,2
1030,37,7,6,7,0.2,0.5,2,95,86,2
1031,37,3,1,3,0.4,0.5,99,95,86,2
1032,37,4,1,3,0.2,0.5,99,95,86,2
1033,37,3,2,4,0.2,0.5,99,95,86,2
1034,37,3,1,4,0.2,0.5,99,95,86,2
1035,37,4,2,4,0.2,0.5,99,95,86,2
1036,37,5,1,1,1,4.060475659,99,95,86,2
1037,37,7,1,1,1,4.139285388,99,95,86,2
1038,37,5,1,2,0.5,0.5,99,95,86,2
1039,37,6,1,2,0.5,0.5,99,95,86,2
1040,37,6,1,2,0.5,0.5,99,95,86,2
1041,37,7,1,2,0.5,0.5,99,95,86,2
1042,37,7,1,2,0.5,0.5,99,95,86,2
1043,37,5,1,2,0.5,0.5,99,95,86,2
1044,37,4,1,2,0.5,0.5,99,95,86,2
1045,37,4,1,3,0.3,0.3,99,95,86,2
1046,37,4,1,3,0.3,0.3,99,95,86,2
1047,37,4,1,3,0.3,0.3,99,95,86,2
1048,37,4,1,3,0.3,0.3,99,95,86,2
1049,37,4,1,3,0.3,0.3,99,95,86,2
1050,37,6,1,3,0.3,0.3,99,95,86,2
1051,37,6,1,3,0.3,0.3,99,95,86,2
1052,37,6,1,3,0.3,0.3,99,95,86,2
1053,37,6,1,3,0.3,0.3,99,95,86,2
1054,37,6,1,3,0.3,0.3,99,95,86,2
1055,37,6,1,3,0.3,0.3,99,95,86,2
1056,37,6,1,3,0.3,0.3,99,95,86,2
1057,37,7,1,3,0.3,0.3,99,95,86,2
1058,37,7,1,3,0.3,0.3,99,95,86,2
1059,37,7,1,3,0.3,0.3,99,95,86,2
1060,37,7,1,3,0.3,0.3,99,95,86,2
1061,37,3,1,4,0.3,0.3,99,95,86,2
1062,37,7,1,4,0.3,0.3,99,95,86,2
1063,37,7,1,4,0.3,0.3,99,95,86,2
1064,37,7,1,3,0.3,0.3,99,95,86,2
1065,37,7,1,4,0.3,0.3,99,95,86,2
1066,37,7,1,2,0.5,0.5,99,95,86,2
1067,37,7,1,4,0.3,0.3,99,95,86,2
1068,37,7,1,3,0.3,0.3,99,95,86,2
1069,37,7,1,4,0.3,0.3,99,95,86,2
1070,37,7,1,2,0.5,0.5,99,95,86,2
1071,52,3,1,4,0.2,0.5,99,95,86,2
1072,52,1,1,3,0.3,0.5,99,95,86,2
1073,52,3,1,4,0.2,0.5,99,95,86,2
1074,52,2,1,3,0.2,0.5,99,95,86,2
1075,52,4,2,4,0.3,0.6,99,95,86,2
1076,52,4,1,1,1,3.59050049,99,95,86,2
1077,52,4,1,1,1,12.45443853,99,95,86,2
